timestamp,accX,accY,accZ
51800,-50,-296,-78
51802,-50,-296,-78
51803,-50,-296,-78
51805,226,-300,7
51806,226,-300,7
51807,226,-300,7
51808,226,-300,7
51810,226,-300,7
51811,226,-300,7
51812,226,-300,7
51813,226,-300,7
51815,343,-105,-128
51816,343,-105,-128
51818,343,-105,-128
51819,343,-105,-128
51820,343,-105,-128
51822,343,-105,-128
51823,343,-105,-128
51824,417,179,-343
51826,417,179,-343
51828,417,179,-343
51829,417,179,-343
51831,417,179,-343
51832,417,179,-343
51833,417,179,-343
51835,574,468,-496
51836,574,468,-496
51837,574,468,-496
51838,574,468,-496
51840,574,468,-496
51841,574,468,-496
51842,574,468,-496
51844,574,468,-496
51845,773,652,-582
51847,773,652,-582
51848,773,652,-582
51849,773,652,-582
51851,773,652,-582
51852,773,652,-582
51853,773,652,-582
51854,773,652,-582
51856,761,781,-878
51857,761,781,-878
51860,761,781,-878
51861,761,781,-878
51863,761,781,-878
51864,761,781,-878
51865,761,781,-878
51866,601,1050,-1187
51868,601,1050,-1187
51869,601,1050,-1187
51870,601,1050,-1187
51872,601,1050,-1187
51873,601,1050,-1187
51874,601,1050,-1187
51876,472,1214,-1585
51878,472,1214,-1585
51879,472,1214,-1585
51880,472,1214,-1585
51882,472,1214,-1585
51883,472,1214,-1585
51884,472,1214,-1585
51885,472,1214,-1585
51887,316,1164,-2000
51888,316,1164,-2000
51889,316,1164,-2000
51891,316,1164,-2000
51892,316,1164,-2000
51894,316,1164,-2000
51895,316,1164,-2000
51896,-42,964,-2000
51899,-42,964,-2000
51900,-42,964,-2000
51902,-42,964,-2000
51903,-42,964,-2000
51904,-42,964,-2000
51906,-42,964,-2000
51907,-406,718,-2000
51908,-406,718,-2000
51910,-406,718,-2000
51911,-406,718,-2000
51912,-406,718,-2000
51913,-406,718,-2000
51915,-406,718,-2000
51917,-406,718,-2000
51918,-667,527,-2000
51919,-667,527,-2000
51921,-667,527,-2000
51922,-667,527,-2000
51923,-667,527,-2000
51924,-667,527,-2000
51926,-667,527,-2000
51927,-925,300,-2000
51929,-925,300,-2000
51930,-925,300,-2000
51931,-925,300,-2000
51934,-925,300,-2000
51935,-925,300,-2000
51937,-925,300,-2000
51938,-1265,152,-2000
51939,-1265,152,-2000
51941,-1265,152,-2000
51942,-1265,152,-2000
51943,-1265,152,-2000
51945,-1265,152,-2000
51946,-1265,152,-2000
51947,-1265,152,-2000
51949,-1199,46,-1937
51951,-1199,46,-1937
51952,-1199,46,-1937
51953,-1199,46,-1937
51955,-1199,46,-1937
51956,-1199,46,-1937
51957,-1199,46,-1937
51958,-957,-15,-1976
51960,-957,-15,-1976
51961,-957,-15,-1976
51963,-957,-15,-1976
51964,-957,-15,-1976
51965,-957,-15,-1976
51968,-957,-15,-1976
51969,-894,-97,-2000
51971,-894,-97,-2000
51972,-894,-97,-2000
51973,-894,-97,-2000
51975,-894,-97,-2000
51980,-847,-218,-2000
52000,-964,-429,-1796
52020,-734,-550,-1625
52040,-542,-1000,-1222
52060,-738,-988,-1191
52080,-503,-1019,-1324
52100,-835,-941,-1300
52120,-273,-1113,-1265
52140,-410,-1332,-796
52160,-605,-1218,-445
52180,-660,-1039,-738
52200,-722,-1136,-484
52220,-621,-1082,-558
52240,-578,-1000,-648
52260,-585,-1156,-500
52280,-726,-1203,-343
52300,-585,-1242,-121
52320,-531,-933,-50
52340,-324,-824,-101
52360,-101,-1074,269
52380,-82,-1140,382
52400,15,-1117,445
52420,125,-1031,367
52440,316,-398,74
52460,746,160,-199
52480,835,437,-324
52500,859,578,-613
52520,789,652,-1351
52540,664,296,-2000
52560,-292,-476,-2000
52580,-1281,-636,-2000
52600,-1167,-773,-2000
52620,-710,-1078,-2000
52640,-445,-1421,-2000
52660,-660,-1792,-1714
52680,-554,-1851,-1753
52700,-539,-1832,-1414
52720,-46,-1511,-1585
52740,-546,-1519,-207
52760,-269,-1484,-1355
52780,234,-1769,-519
52800,-105,-1929,-414
52820,292,-1929,195
52840,289,-1687,496
52860,175,-1648,863
52880,195,-1488,949
52900,414,-1257,722
52920,777,-785,335
52940,843,-335,234
52960,625,171,-312
52980,546,781,-980
53000,601,964,-1539
53020,378,402,-1972
53040,-433,-242,-2000
53060,-789,-437,-2000
53080,-875,-664,-2000
53100,-507,-746,-1781
53120,-437,-980,-1593
53140,-503,-1121,-1484
53160,-496,-1250,-1367
53180,-445,-1406,-1339
53200,-335,-1496,-1199
53220,-226,-1453,-1132
53240,-367,-1484,-859
53260,-371,-1390,-914
53280,-355,-1375,-761
53300,-273,-1312,-761
53320,-261,-1261,-589
53340,-257,-1054,-757
53360,-468,-1121,-546
53380,-261,-1113,-363
53400,-105,-1140,-203
53420,-19,-1078,222
53440,0,-894,304
53460,-46,-781,445
53480,42,-675,488
53500,62,-589,433
53520,320,-273,179
53540,468,-7,242
53560,468,207,46
53580,421,222,-156
53600,226,136,-562
53620,-70,109,-816
53640,-257,-42,-1003
53660,-378,-238,-1316
53680,-488,-300,-1648
53700,-617,-281,-1914
53720,-769,-511,-1882
53740,-703,-664,-1835
53760,-898,-718,-1769
53780,-660,-714,-1792
53800,-574,-636,-1714
53820,-449,-675,-1531
53840,-324,-878,-1328
53860,-335,-960,-1250
53880,-339,-1023,-1144
53900,-500,-1074,-1218
53920,-406,-1191,-1046
53940,-332,-1183,-1046
53960,-289,-1265,-910
53980,-355,-1269,-769
54000,-375,-1277,-640
54020,-347,-1300,-562
54040,-410,-1261,-507
54060,-316,-1242,-351
54080,-195,-1144,-304
54100,-238,-1039,-199
54120,-66,-859,-183
54140,-3,-687,-195
54160,-101,-550,-3
54180,-125,-464,15
54200,-140,-437,11
54220,-167,-406,15
54240,-117,-257,-50
54260,-11,-31,-148
54280,3,97,-187
54300,-7,109,-152
54320,-85,195,-242
54340,-218,449,-613
54360,-441,503,-800
54380,-378,347,-687
54400,-335,464,-867
54420,-179,621,-1003
54440,-207,824,-1234
54460,-281,980,-1285
54480,-250,929,-1394
54500,-250,968,-1476
54520,-511,1027,-1753
54540,-703,839,-1566
54560,-730,808,-1636
54580,-734,648,-1582
