timestamp,accX,accY,accZ
167251037,-0.29,0.87,0.36
167252975,-0.29,0.87,0.36
167254978,-0.29,0.87,0.36
167256972,-0.29,0.86,0.37
167258971,-0.29,0.86,0.37
167260973,-0.29,0.86,0.37
167262978,-0.29,0.86,0.37
167265050,-0.29,0.86,0.37
167266977,-0.29,0.86,0.38
167268976,-0.29,0.86,0.38
167270975,-0.29,0.86,0.38
167272980,-0.29,0.86,0.38
167274982,-0.29,0.86,0.38
167277005,-0.29,0.86,0.38
167278978,-0.29,0.88,0.37
167280979,-0.29,0.88,0.37
167282974,-0.29,0.88,0.37
167284974,-0.29,0.88,0.37
167286975,-0.29,0.88,0.37
167288975,-0.29,0.87,0.36
167291048,-0.29,0.87,0.36
167292986,-0.29,0.87,0.36
167294997,-0.29,0.87,0.36
167296974,-0.29,0.87,0.36
167298978,-0.29,0.87,0.37
167357045,-0.29,0.86,0.38
167359021,-0.29,0.86,0.38
167361020,-0.29,0.87,0.37
167363021,-0.29,0.87,0.37
167365116,-0.29,0.87,0.37
167367021,-0.29,0.87,0.37
167369022,-0.29,0.87,0.37
167371023,-0.29,0.86,0.38
167373012,-0.29,0.86,0.38
167374987,-0.29,0.86,0.38
167377022,-0.29,0.86,0.38
167379000,-0.29,0.86,0.38
167380975,-0.29,0.87,0.38
167382980,-0.29,0.87,0.38
167384975,-0.29,0.87,0.38
167386979,-0.29,0.87,0.38
167388973,-0.29,0.87,0.38
167391063,-0.29,0.86,0.38
167392983,-0.29,0.86,0.38
167395021,-0.29,0.86,0.38
167397145,-0.29,0.86,0.38
167399039,-0.29,0.86,0.38
167401022,-0.29,0.87,0.37
167403022,-0.29,0.87,0.37
167405020,-0.29,0.87,0.37
167407022,-0.29,0.87,0.37
167409025,-0.29,0.87,0.37
167411051,-0.29,0.87,0.38
167413030,-0.29,0.87,0.38
167415123,-0.29,0.87,0.38
167416988,-0.29,0.87,0.38
167418985,-0.29,0.87,0.38
167420992,-0.29,0.86,0.38
167423073,-0.29,0.86,0.38
167425007,-0.29,0.86,0.38
167426978,-0.29,0.86,0.38
167428980,-0.29,0.86,0.38
167430990,-0.29,0.86,0.38
167433025,-0.29,0.87,0.38
167434975,-0.29,0.87,0.38
167436974,-0.29,0.87,0.38
167439045,-0.29,0.87,0.38
167441134,-0.29,0.87,0.38
167443019,-0.29,0.87,0.37
167445031,-0.29,0.87,0.37
167447083,-0.29,0.87,0.37
167449036,-0.29,0.87,0.37
167451019,-0.29,0.87,0.37
167453018,-0.29,0.87,0.37
167455056,-0.29,0.87,0.37
167457043,-0.29,0.87,0.37
167459003,-0.29,0.87,0.37
167460978,-0.29,0.87,0.37
167462985,-0.29,0.86,0.39
167465110,-0.29,0.86,0.39
167467056,-0.29,0.86,0.39
167469000,-0.29,0.86,0.39
167470978,-0.29,0.86,0.39
167472988,-0.29,0.86,0.38
167475025,-0.29,0.86,0.38
167477015,-0.29,0.86,0.38
167479047,-0.29,0.86,0.38
167481022,-0.29,0.86,0.38
167483018,-0.29,0.86,0.39
167485023,-0.29,0.86,0.39
167487055,-0.29,0.86,0.39
167489025,-0.29,0.86,0.39
167491130,-0.29,0.86,0.39
167493020,-0.28,0.86,0.38
167495024,-0.28,0.86,0.38
167497074,-0.28,0.86,0.38
167499006,-0.28,0.86,0.38
167500977,-0.28,0.86,0.38
167502979,-0.28,0.86,0.39
167504989,-0.28,0.86,0.39
167507020,-0.28,0.86,0.39
167508979,-0.28,0.86,0.39
167510991,-0.28,0.86,0.39
167512979,-0.28,0.86,0.39
167515069,-0.29,0.86,0.38
167516993,-0.29,0.86,0.38
167519044,-0.29,0.86,0.38
167521024,-0.29,0.86,0.38
167523021,-0.29,0.86,0.38
167525018,-0.28,0.87,0.38
167527021,-0.28,0.87,0.38
167529019,-0.28,0.87,0.38
167531023,-0.28,0.87,0.38
167532980,-0.28,0.87,0.38
167534993,-0.29,0.86,0.39
167537018,-0.29,0.86,0.39
167538979,-0.29,0.86,0.39
167541073,-0.29,0.86,0.39
167542978,-0.29,0.86,0.39
167544975,-0.29,0.86,0.39
167546975,-0.29,0.86,0.39
167548974,-0.29,0.86,0.39
167551005,-0.29,0.86,0.39
167553084,-0.29,0.86,0.39
167555003,-0.29,0.87,0.38
167556985,-0.29,0.87,0.38
167559031,-0.29,0.87,0.38
167561019,-0.29,0.87,0.38
167563018,-0.29,0.87,0.38
167565123,-0.29,0.86,0.38
167567019,-0.29,0.86,0.38
167569023,-0.29,0.86,0.38
167571053,-0.29,0.86,0.38
167573026,-0.29,0.86,0.38
167574998,-0.29,0.86,0.39
167577012,-0.29,0.86,0.39
167578981,-0.29,0.86,0.39
167580990,-0.29,0.86,0.39
167583090,-0.29,0.86,0.39
167585010,-0.29,0.86,0.39
167586998,-0.29,0.86,0.39
167588973,-0.29,0.86,0.39
167591106,-0.29,0.86,0.39
167593026,-0.29,0.86,0.39
167594994,-0.29,0.86,0.39
167596983,-0.29,0.86,0.38
167599043,-0.29,0.86,0.38
167601022,-0.29,0.86,0.38
167603022,-0.29,0.86,0.38
167605035,-0.29,0.86,0.38
167607070,-0.30,0.86,0.39
167609035,-0.30,0.86,0.39
167611018,-0.30,0.86,0.39
167613020,-0.30,0.86,0.39
167615123,-0.30,0.86,0.39
167616986,-0.29,0.86,0.38
167618979,-0.29,0.86,0.38
167620978,-0.29,0.86,0.38
167622983,-0.29,0.86,0.38
167625069,-0.29,0.86,0.38
167627012,-0.30,0.86,0.38
167628984,-0.30,0.86,0.38
167630979,-0.30,0.86,0.38
167632983,-0.30,0.86,0.38
167634983,-0.30,0.86,0.38
167636984,-0.29,0.87,0.38
167639031,-0.29,0.87,0.38
167641148,-0.29,0.87,0.38
167643022,-0.29,0.87,0.38
167645022,-0.29,0.87,0.38
167647024,-0.30,0.87,0.38
167649020,-0.30,0.87,0.38
167651010,-0.30,0.87,0.38
167652990,-0.30,0.87,0.38
167655079,-0.30,0.87,0.38
167657003,-0.26,0.86,0.43
167658975,-0.26,0.86,0.43
167660984,-0.26,0.86,0.43
167662987,-0.26,0.86,0.43
167665100,-0.26,0.86,0.43
167667024,-0.26,0.86,0.43
167668978,-0.31,0.87,0.39
167670978,-0.31,0.87,0.39
167672974,-0.31,0.87,0.39
167674977,-0.31,0.87,0.39
167677013,-0.31,0.87,0.39
167679043,-0.29,0.85,0.38
167681019,-0.29,0.85,0.38
167683017,-0.29,0.85,0.38
167685043,-0.29,0.85,0.38
167687059,-0.29,0.85,0.38
167689022,-0.29,0.85,0.40
167691130,-0.29,0.85,0.40
167693021,-0.29,0.85,0.40
167695038,-0.29,0.85,0.40
167697052,-0.29,0.85,0.40
167699005,-0.29,0.86,0.41
167700979,-0.29,0.86,0.41
167702976,-0.29,0.86,0.41
167705004,-0.29,0.86,0.41
167707028,-0.29,0.86,0.41
167708986,-0.28,0.85,0.39
167710979,-0.28,0.85,0.39
167712975,-0.28,0.85,0.39
167715070,-0.28,0.85,0.39
167716985,-0.28,0.85,0.39
167719047,-0.29,0.86,0.39
167721022,-0.29,0.86,0.39
167723023,-0.29,0.86,0.39
167725039,-0.29,0.86,0.39
167727056,-0.29,0.86,0.39
167729021,-0.29,0.86,0.39
167731020,-0.29,0.86,0.39
167733022,-0.29,0.86,0.39
167735041,-0.29,0.86,0.39
167737047,-0.29,0.86,0.39
167739030,-0.29,0.86,0.39
167741099,-0.29,0.86,0.40
167742975,-0.29,0.86,0.40
167744978,-0.29,0.86,0.40
167747031,-0.29,0.86,0.40
167749012,-0.29,0.86,0.40
167750980,-0.29,0.86,0.39
167752982,-0.29,0.86,0.39
167754974,-0.29,0.86,0.39
167756976,-0.29,0.86,0.39
167759041,-0.29,0.86,0.39
167761021,-0.29,0.86,0.40
167763020,-0.29,0.86,0.40
167765144,-0.29,0.86,0.40
167767074,-0.29,0.86,0.40
167769038,-0.29,0.86,0.40
167771019,-0.29,0.85,0.42
167773024,-0.29,0.85,0.42
167775012,-0.29,0.85,0.42
167777011,-0.29,0.85,0.42
167778973,-0.29,0.85,0.42
167780979,-0.29,0.85,0.43
167782975,-0.29,0.85,0.43
167784980,-0.29,0.85,0.43
167787004,-0.29,0.85,0.43
167789058,-0.29,0.85,0.43
167791102,-0.28,0.85,0.44
167792985,-0.28,0.85,0.44
167794996,-0.28,0.85,0.44
167797029,-0.28,0.85,0.44
167799041,-0.28,0.85,0.44
167801022,-0.28,0.86,0.44
167803018,-0.28,0.86,0.44
167805037,-0.28,0.86,0.44
167807052,-0.28,0.86,0.44
167809022,-0.28,0.86,0.44
167811022,-0.28,0.86,0.45
167813015,-0.28,0.86,0.45
167815088,-0.28,0.86,0.45
167816988,-0.28,0.86,0.45
167818979,-0.28,0.86,0.45
167820992,-0.28,0.86,0.45
167823091,-0.29,0.84,0.44
167825001,-0.29,0.84,0.44
167826979,-0.29,0.84,0.44
167828979,-0.29,0.84,0.44
167830976,-0.29,0.84,0.44
167832980,-0.28,0.86,0.45
167834980,-0.28,0.86,0.45
167837023,-0.28,0.86,0.45
167839058,-0.28,0.86,0.45
167841161,-0.28,0.86,0.45
167843038,-0.25,0.84,0.50
167845022,-0.25,0.84,0.50
167847018,-0.25,0.84,0.50
167849067,-0.25,0.84,0.50
167851027,-0.25,0.84,0.50
167853020,-0.25,0.85,0.50
167855021,-0.25,0.85,0.50
167857014,-0.25,0.85,0.50
167859058,-0.25,0.85,0.50
167860993,-0.25,0.85,0.50
167862978,-0.25,0.84,0.48
167865075,-0.25,0.84,0.48
167866983,-0.25,0.84,0.48
167868989,-0.25,0.84,0.48
167871022,-0.25,0.84,0.48
167872974,-0.27,0.80,0.46
167874974,-0.27,0.80,0.46
167877018,-0.27,0.80,0.46
167879046,-0.27,0.80,0.46
167881019,-0.27,0.80,0.46
167883020,-0.27,0.78,0.46
167885045,-0.27,0.78,0.46
167887051,-0.27,0.78,0.46
167889026,-0.27,0.78,0.46
167891128,-0.27,0.78,0.46
167893021,-0.27,0.78,0.46
167895044,-0.27,0.80,0.49
167897056,-0.27,0.80,0.49
167898979,-0.27,0.80,0.49
167900979,-0.27,0.80,0.49
167902979,-0.27,0.80,0.49
167904980,-0.27,0.84,0.49
167906982,-0.27,0.84,0.49
167908979,-0.27,0.84,0.49
167910978,-0.27,0.84,0.49
167913000,-0.27,0.84,0.49
167915123,-0.27,0.88,0.50
167916984,-0.27,0.88,0.50
167919042,-0.27,0.88,0.50
167921018,-0.27,0.88,0.50
167923021,-0.27,0.88,0.50
167925020,-0.27,0.84,0.54
167927035,-0.27,0.84,0.54
167929052,-0.27,0.84,0.54
167931025,-0.27,0.84,0.54
167933020,-0.27,0.84,0.54
167935004,-0.28,0.81,0.53
167936985,-0.28,0.81,0.53
167938984,-0.28,0.81,0.53
167941086,-0.28,0.81,0.53
167942986,-0.28,0.81,0.53
167944986,-0.29,0.81,0.50
167946984,-0.29,0.81,0.50
167948978,-0.29,0.81,0.50
167950975,-0.29,0.81,0.50
167952984,-0.29,0.81,0.50
167954987,-0.29,0.78,0.50
167956978,-0.29,0.78,0.50
167959049,-0.29,0.78,0.50
167961052,-0.29,0.78,0.50
167963021,-0.29,0.78,0.50
167965121,-0.28,0.75,0.52
167967021,-0.28,0.75,0.52
167969069,-0.28,0.75,0.52
167971038,-0.28,0.75,0.52
167973020,-0.28,0.75,0.52
167975020,-0.28,0.75,0.52
167977016,-0.26,0.78,0.55
167978978,-0.26,0.78,0.55
167980973,-0.26,0.78,0.55
167982975,-0.26,0.78,0.55
167984978,-0.26,0.78,0.55
167986979,-0.26,0.77,0.56
167988980,-0.26,0.77,0.56
167991083,-0.26,0.77,0.56
167992983,-0.26,0.77,0.56
167994997,-0.26,0.77,0.56
167997001,-0.26,0.78,0.57
167999068,-0.26,0.78,0.57
168001032,-0.26,0.78,0.57
168003020,-0.26,0.78,0.57
168005021,-0.26,0.78,0.57
168007066,-0.27,0.77,0.57
168009046,-0.27,0.77,0.57
168011018,-0.27,0.77,0.57
168013019,-0.27,0.77,0.57
168015117,-0.27,0.77,0.57
168017124,-0.27,0.75,0.56
168019007,-0.27,0.75,0.56
168020979,-0.27,0.75,0.56
168022976,-0.27,0.75,0.56
168024983,-0.27,0.75,0.56
168027022,-0.27,0.75,0.58
168028974,-0.27,0.75,0.58
168030978,-0.27,0.75,0.58
168032973,-0.27,0.75,0.58
168034984,-0.27,0.75,0.58
168036979,-0.25,0.74,0.60
168038974,-0.25,0.74,0.60
168041138,-0.25,0.74,0.60
168043022,-0.25,0.74,0.60
168045022,-0.25,0.74,0.60
168047043,-0.25,0.74,0.60
168049065,-0.25,0.73,0.61
168051034,-0.25,0.73,0.61
168053021,-0.25,0.73,0.61
168055021,-0.25,0.73,0.61
168057061,-0.25,0.73,0.61
168059030,-0.25,0.74,0.60
168061013,-0.25,0.74,0.60
168062984,-0.25,0.74,0.60
168065099,-0.25,0.74,0.60
168067057,-0.25,0.74,0.60
168069005,-0.25,0.71,0.60
168070983,-0.25,0.71,0.60
168072992,-0.25,0.71,0.60
168075027,-0.25,0.71,0.60
168077014,-0.25,0.71,0.60
168078985,-0.25,0.71,0.59
168081047,-0.25,0.71,0.59
168083019,-0.25,0.71,0.59
168085019,-0.25,0.71,0.59
168087021,-0.25,0.71,0.59
168089027,-0.25,0.74,0.59
168091155,-0.25,0.74,0.59
168093023,-0.25,0.74,0.59
168095018,-0.25,0.74,0.59
168097014,-0.25,0.74,0.59
168098982,-0.25,0.72,0.62
168100985,-0.25,0.72,0.62
168102983,-0.25,0.72,0.62
168105071,-0.25,0.72,0.62
168107016,-0.25,0.72,0.62
168108980,-0.25,0.71,0.61
168110981,-0.25,0.71,0.61
168113001,-0.25,0.71,0.61
168115126,-0.25,0.71,0.61
168116982,-0.25,0.71,0.61
168118993,-0.25,0.73,0.61
168121029,-0.25,0.73,0.61
168123016,-0.25,0.73,0.61
168125009,-0.25,0.73,0.61
168127020,-0.25,0.73,0.61
168129086,-0.25,0.73,0.61
168131035,-0.25,0.72,0.62
168133014,-0.25,0.72,0.62
168135015,-0.25,0.72,0.62
168137011,-0.25,0.72,0.62
168139047,-0.25,0.72,0.62
168141075,-0.24,0.73,0.64
168142969,-0.24,0.73,0.64
168144967,-0.24,0.73,0.64
168146966,-0.24,0.73,0.64
